nodes,edge_prob,runtime
4,0.1,0.0014616999978898093
4,0.1,0.00025320000713691115
4,0.1,0.00022390000231098384
4,0.1,0.00020330000552348793
4,0.1,0.0006238000059965998
4,0.1,0.0004141999961575493
4,0.1,0.0004034000012325123
4,0.1,0.00034130000858567655
4,0.1,0.00033549999352544546
4,0.1,0.0002334000018890947
4,0.2,0.00018149999959859997
4,0.2,0.0001914000022225082
4,0.2,0.0008285000076284632
4,0.2,0.00020349999249447137
4,0.2,0.00018509999790694565
4,0.2,0.00016959999629762024
4,0.2,0.0105178999947384
4,0.2,0.0012430999922798946
4,0.2,0.00034389999927952886
4,0.2,0.00030359999800566584
4,0.4,0.0009171999990940094
4,0.4,0.0008196999988285825
4,0.4,0.00028700000257231295
4,0.4,0.00026250000519212335
4,0.4,0.0024298000062117353
4,0.4,0.001412099998560734
4,0.4,0.0005890000029467046
4,0.4,0.0011107999889645725
4,0.4,0.0009254000033251941
4,0.4,0.00021100000594742596
4,0.6,0.0010392000112915412
4,0.6,0.0008856999920681119
4,0.6,0.0008155999967129901
4,0.6,0.000775500011513941
4,0.6,0.0009146000084001571
4,0.6,0.0011765000090235844
4,0.6,0.0005196999991312623
4,0.6,0.0010923999943770468
4,0.6,0.0007959000067785382
4,0.6,0.000691299996105954
4,0.8,0.0007761000015307218
4,0.8,0.0006292000034591183
4,0.8,0.0007437000022036955
4,0.8,0.0006505999917862937
4,0.8,0.0005417000065790489
4,0.8,0.0005182999884709716
4,0.8,0.000498099994729273
4,0.8,0.0005487000016728416
4,0.8,0.0005056999943917617
4,0.8,0.000519299996085465
4,1.0,0.0006546000076923519
4,1.0,0.0005717000021832064
4,1.0,0.0005601999873761088
4,1.0,0.0005432000034488738
4,1.0,0.0005566000036196783
4,1.0,0.0005387999990489334
4,1.0,0.0005518999969353899
4,1.0,0.0005366999976104125
4,1.0,0.0005471000040415674
4,1.0,0.0005553000082727522
8,0.1,0.00023019999207463115
8,0.1,8.650000381749123e-05
8,0.1,0.00025249998725485057
8,0.1,8.630000229459256e-05
8,0.1,8.489999163430184e-05
8,0.1,8.209999941755086e-05
8,0.1,8.110000635497272e-05
8,0.1,8.50000069476664e-05
8,0.1,8.140000863932073e-05
8,0.1,7.920000643935055e-05
