nodes,edge_prob,runtime
4,0.1,9.109999518841505e-05
4,0.1,5.080000846646726e-05
4,0.1,3.599999763537198e-05
4,0.1,2.8800001018680632e-05
4,0.1,7.989999721758068e-05
4,0.1,2.9400005587376654e-05
4,0.1,2.61999957729131e-05
4,0.1,2.680000034160912e-05
4,0.1,2.6399997295811772e-05
4,0.1,2.6299996534362435e-05
4,0.2,8.209999941755086e-05
4,0.2,3.0199997127056122e-05
4,0.2,2.2999985958449543e-05
4,0.2,1.0899995686486363e-05
4,0.2,8.800008799880743e-06
4,0.2,8.000002708286047e-06
4,0.2,8.100003469735384e-06
4,0.2,8.000002708286047e-06
4,0.2,2.1799991372972727e-05
4,0.2,9.2999980552122e-06
4,0.4,8.300004992634058e-06
4,0.4,8.000002708286047e-06
4,0.4,8.300004992634058e-06
4,0.4,2.1100000594742596e-05
4,0.4,1.9400002202019095e-05
4,0.4,3.1099989428184927e-05
4,0.4,9.900002623908222e-06
4,0.4,8.999995770864189e-06
4,0.4,3.6999990697950125e-05
4,0.4,1.8000006093643606e-05
4,0.6,3.9399994420818985e-05
4,0.6,3.989999822806567e-05
4,0.6,2.7999994927085936e-05
4,0.6,3.200001083314419e-05
4,0.6,2.8099995688535273e-05
4,0.6,1.7999991541728377e-05
4,0.6,2.379999205004424e-05
4,0.6,3.3199990866705775e-05
4,0.6,3.309999010525644e-05
4,0.6,2.8599999495781958e-05
4,0.8,3.0499999411404133e-05
4,0.8,2.610000956337899e-05
4,0.8,3.2500000088475645e-05
4,0.8,3.2500000088475645e-05
4,0.8,3.950000973418355e-05
4,0.8,3.3200005418621004e-05
4,0.8,3.0099996365606785e-05
4,0.8,5.5800002883188426e-05
4,0.8,3.370000922586769e-05
4,0.8,3.190001007169485e-05
4,1.0,4.730001091957092e-05
4,1.0,3.929999365936965e-05
4,1.0,3.91000066883862e-05
4,1.0,3.700000524986535e-05
4,1.0,3.709999145939946e-05
4,1.0,3.739999374374747e-05
4,1.0,5.85000088904053e-05
4,1.0,4.2800005758181214e-05
4,1.0,4.060000355821103e-05
4,1.0,4.049998824484646e-05
8,0.1,9.2999980552122e-06
8,0.1,8.100003469735384e-06
8,0.1,7.399998139590025e-06
8,0.1,7.199996616691351e-06
8,0.1,1.750000228639692e-05
8,0.1,7.700000423938036e-06
8,0.1,1.6299993149004877e-05
8,0.1,7.700000423938036e-06
8,0.1,1.589999010320753e-05
8,0.1,7.399998139590025e-06
8,0.2,6.900008884258568e-06
8,0.2,1.6099991626106203e-05
8,0.2,1.9500002963468432e-05
8,0.2,1.5699988580308855e-05
8,0.2,2.2400010493583977e-05
8,0.2,4.3799998820759356e-05
8,0.2,2.610000956337899e-05
8,0.2,1.8999999156221747e-05
8,0.2,2.710000262595713e-05
8,0.2,1.579998934175819e-05
8,0.4,6.640001083724201e-05
8,0.4,5.610000516753644e-05
8,0.4,5.3499999921768904e-05
8,0.4,4.939999780617654e-05
8,0.4,7.759999425616115e-05
8,0.4,6.600000779144466e-05
8,0.4,5.5900003644637764e-05
8,0.4,3.260000084992498e-05
8,0.4,3.270000161137432e-05
8,0.4,3.46999877365306e-05
8,0.6,8.110000635497272e-05
8,0.6,8.579999848734587e-05
8,0.6,8.119999256450683e-05
8,0.6,9.629999112803489e-05
8,0.6,7.510000432375818e-05
8,0.6,8.97999998414889e-05
8,0.6,7.570000889245421e-05
8,0.6,8.650000381749123e-05
8,0.6,7.919999188743532e-05
8,0.6,9.190000128000975e-05
8,0.8,0.00011209999502170831
8,0.8,0.00010790000669658184
8,0.8,0.0005021999968448654
8,0.8,0.0001412999990861863
8,0.8,0.00010910000128205866
8,0.8,0.00010910000128205866
8,0.8,0.00011860000086016953
8,0.8,0.00011910000466741621
8,0.8,0.00011419999646022916
8,0.8,0.00010579999070614576
8,1.0,0.00012820000119972974
8,1.0,0.00012710000737570226
8,1.0,0.00013220000255387276
8,1.0,0.00013020000187680125
8,1.0,0.0001314000110141933
8,1.0,0.00012969999806955457
8,1.0,0.00012939999578520656
8,1.0,0.0001286999904550612
8,1.0,0.00013019998732488602
8,1.0,0.0001297999988310039
16,0.1,3.100000321865082e-05
16,0.1,1.7799990018829703e-05
16,0.1,7.569999434053898e-05
16,0.1,4.769999941345304e-05
16,0.1,5.2099989261478186e-05
16,0.1,4.959999932907522e-05
16,0.1,5.320001218933612e-05
16,0.1,5.919999966863543e-05
16,0.1,4.2400002712383866e-05
16,0.1,6.10999995842576e-05
16,0.2,0.00010829999519046396
16,0.2,0.0001908999984152615
16,0.2,0.00011920000542886555
16,0.2,0.00012120000610593706
16,0.2,0.00010130000009667128
16,0.2,0.00011720000475179404
16,0.2,9.980000322684646e-05
16,0.2,0.0001387999946018681
16,0.2,9.670000872574747e-05
16,0.2,0.0001277999981539324
16,0.4,0.00024110000231303275
16,0.4,0.00022650000755675137
16,0.4,0.000228599994443357
16,0.4,0.00025040000036824495
16,0.4,0.00023210000654216856
16,0.4,0.00024850000045262277
16,0.4,0.0002373000024817884
16,0.4,0.0002386999985901639
16,0.4,0.00022729999909643084
16,0.4,0.00025749999622348696
16,0.6,0.00031879999733064324
16,0.6,0.00031550000130664557
16,0.6,0.00032160000409930944
16,0.6,0.0003298999945400283
16,0.6,0.00033460000122431666
16,0.6,0.00033490000350866467
16,0.6,0.0002891000040108338
16,0.6,0.0003040000010514632
16,0.6,0.0003193000011378899
16,0.6,0.0003308000013930723
16,0.8,0.00041819999751169235
16,0.8,0.0004118000069865957
16,0.8,0.0004211000050418079
