edges,nodes,runtime,trial
50000,17572,0.038848199998028576,1
50000,17572,0.03614229999948293,2
50000,17572,0.03005709999706596,3
50000,17572,0.036411699999007396,4
50000,17572,0.030830699994112365,5
50000,17572,0.039376000000629574,6
50000,17572,0.031214699993142858,7
50000,17572,0.029590099991764873,8
50000,17572,0.03531150000344496,9
50000,17572,0.035318399997777306,10
100000,35539,0.04537000000709668,1
100000,35539,0.045436300002620555,2
100000,35539,0.047461699999985285,3
100000,35539,0.05874769999354612,4
100000,35539,0.06474439999146853,5
100000,35539,0.052250099994125776,6
100000,35539,0.053450399995199405,7
100000,35539,0.054030400002375245,8
100000,35539,0.054897999987588264,9
100000,35539,0.05442879999463912,10
200000,72767,0.11425679999229033,1
200000,72767,0.1150673999945866,2
200000,72767,0.11337730000377633,3
200000,72767,0.1138442999945255,4
200000,72767,0.1181423999951221,5
200000,72767,0.1376398000138579,6
200000,72767,0.14030810000258498,7
200000,72767,0.1630450000084238,8
200000,72767,0.1442817999923136,9
200000,72767,0.09666990001278464,10
400000,145773,0.2002206000033766,1
400000,145773,0.20408109998970758,2
400000,145773,0.20406899999943562,3
400000,145773,0.20866879999812227,4
400000,145773,0.20615510000789072,5
400000,145773,0.24811780000163708,6
400000,145773,0.23429059999762103,7
400000,145773,0.2644899000006262,8
400000,145773,0.2493967999907909,9
400000,145773,0.24914660000649747,10
800000,290739,0.5128399999957765,1
800000,290739,0.439280399994459,2
800000,290739,0.5132165999966674,3
800000,290739,0.45882859999255743,4
800000,290739,0.537031300002127,5
800000,290739,0.517310000010184,6
800000,290739,0.674713200001861,7
800000,290739,0.45429939999303315,8
800000,290739,0.456687999991118,9
800000,290739,0.5216309999959776,10
1600000,563700,0.9161732000065967,1
1600000,563700,0.8889879999915138,2
1600000,563700,0.9669700000085868,3
1600000,563700,0.8789336000045296,4
1600000,563700,0.9021299000014551,5
1600000,563700,0.8949237000051653,6
1600000,563700,0.8738983000075677,7
1600000,563700,0.8903522999898996,8
1600000,563700,0.997306799996295,9
1600000,563700,0.855548399995314,10
3200000,1138055,2.6897253000061028,1
3200000,1138055,2.8521190000028582,2
3200000,1138055,1.9868989999959012,3
3200000,1138055,1.652222000004258,4
3200000,1138055,1.736415000006673,5
3200000,1138055,1.805284699992626,6
3200000,1138055,1.6631163999991259,7
3200000,1138055,1.6612150000000838,8
3200000,1138055,1.6482876999943983,9
3200000,1138055,1.6644814999890514,10
5533214,1965206,3.022847300002468,1
5533214,1965206,2.9770827000029385,2
5533214,1965206,2.9200631999992765,3
5533214,1965206,3.455016899999464,4
5533214,1965206,2.924348700005794,5
5533214,1965206,3.278206200004206,6
5533214,1965206,3.3339477999979863,7
5533214,1965206,2.934717800002545,8
5533214,1965206,3.796268299993244,9
5533214,1965206,3.2306962000002386,10
